schema_version,trip_id,device_id,sequence,timestamp,latitude,longitude,horizontal_accuracy_m,altitude_m,vertical_accuracy_m,speed_mps,course_deg
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,51,2026-08-28T23:04:15Z,37.5232563,126.9141332,4.2,23.5,17.3,1.8,137.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,52,2026-08-28T23:04:20Z,37.5232159,126.9142039,10.4,9.9,13.6,1.1,125.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,53,2026-08-28T23:04:25Z,37.5232086,126.9142753,6.1,21.8,15.6,1.32,97.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,54,2026-08-28T23:04:30Z,37.5231661,126.9143352,6.4,19.5,15.9,1.7,131.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,55,2026-08-28T23:04:35Z,37.5231381,126.9143807,4.1,17.9,7.0,1.52,127.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,56,2026-08-28T23:04:40Z,37.5231131,126.9144607,6.4,12.7,20.9,1.08,111.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,57,2026-08-28T23:04:45Z,37.5230624,126.91451,10.6,18.2,7.2,1.48,142.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,58,2026-08-28T23:04:50Z,37.5230422,126.9145663,7.2,23.0,20.6,1.29,114.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,59,2026-08-28T23:04:55Z,37.5230233,126.914633,11.7,10.8,14.5,1.79,109.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,60,2026-08-28T23:05:00Z,37.5229985,126.9147023,5.5,18.4,18.9,1.06,114.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,61,2026-08-28T23:05:05Z,37.5229528,126.9147707,7.0,19.8,12.0,0.81,130.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,62,2026-08-28T23:05:10Z,37.5229505,126.9148492,6.1,22.3,19.9,0.98,92.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,63,2026-08-28T23:05:15Z,37.5229218,126.9148983,10.7,11.2,9.2,1.22,126.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,64,2026-08-28T23:05:20Z,37.5229021,126.914973,6.4,13.3,14.8,0.84,108.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,65,2026-08-28T23:05:25Z,37.5228628,126.9150604,9.3,22.7,11.3,1.26,119.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,66,2026-08-28T23:05:30Z,37.522855,126.9151074,8.6,16.6,20.6,1.35,101.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,67,2026-08-28T23:05:35Z,37.5228259,126.9151716,7.8,20.6,8.0,1.38,119.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,68,2026-08-28T23:05:40Z,37.5228145,126.9152513,11.2,15.3,16.8,1.4,100.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,69,2026-08-28T23:05:45Z,37.5227759,126.9153235,9.1,19.3,15.2,1.23,124.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,70,2026-08-28T23:05:50Z,37.5227466,126.9153899,5.7,12.1,13.6,1.55,119.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,71,2026-08-28T23:05:55Z,37.5227257,126.9154406,10.8,22.8,8.7,1.03,117.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,72,2026-08-28T23:06:00Z,37.5226818,126.9155292,7.4,9.2,19.8,1.79,122.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,73,2026-08-28T23:06:05Z,37.5226606,126.9155826,4.2,8.6,11.7,1.72,116.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,74,2026-08-28T23:06:10Z,37.5226479,126.9156575,8.9,16.3,10.2,1.59,102.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,75,2026-08-28T23:06:15Z,37.5226226,126.9157318,10.9,23.4,9.5,1.72,113.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,76,2026-08-28T23:06:20Z,37.5225889,126.9157858,5.0,15.7,13.8,1.38,128.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,77,2026-08-28T23:06:25Z,37.5225702,126.9158498,5.8,16.2,16.3,1.25,110.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,78,2026-08-28T23:06:30Z,37.5225507,126.9159177,4.6,15.1,13.2,1.59,110.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,79,2026-08-28T23:06:35Z,37.5225274,126.9159976,9.0,14.9,7.4,0.96,110.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,80,2026-08-28T23:06:40Z,37.5225103,126.9160927,9.9,19.6,14.4,1.59,102.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,81,2026-08-28T23:06:45Z,37.5224976,126.9161451,8.6,10.1,8.8,1.66,106.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,82,2026-08-28T23:06:50Z,37.5224764,126.9162161,8.5,8.2,8.0,0.83,110.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,83,2026-08-28T23:06:55Z,37.5224692,126.9162814,6.6,8.0,18.6,0.98,97.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,84,2026-08-28T23:07:00Z,37.5224741,126.9163534,7.5,11.5,14.9,1.67,85.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,85,2026-08-28T23:07:05Z,37.5224358,126.916426,9.4,9.4,15.0,1.13,123.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,86,2026-08-28T23:07:10Z,37.5224344,126.9164936,6.4,19.0,14.8,0.81,91.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,87,2026-08-28T23:07:15Z,37.5224216,126.9165683,6.1,18.8,15.9,0.82,102.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,88,2026-08-28T23:07:20Z,37.5223858,126.9166438,9.2,20.7,14.2,1.4,120.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,89,2026-08-28T23:07:25Z,37.5223955,126.9166958,10.1,11.9,21.0,1.79,76.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,90,2026-08-28T23:07:30Z,37.5223639,126.9167792,11.1,17.8,9.9,0.83,115.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,91,2026-08-28T23:07:35Z,37.5223641,126.9168616,5.3,22.5,7.7,1.4,89.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,92,2026-08-28T23:07:40Z,37.5223444,126.9169238,6.8,22.8,17.4,1.31,111.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,93,2026-08-28T23:07:45Z,37.5223313,126.9169986,9.0,24.9,17.3,0.5,102.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,94,2026-08-28T23:07:50Z,37.5223073,126.9170889,7.1,22.1,13.9,0.28,108.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,95,2026-08-28T23:07:55Z,37.5222971,126.917159,4.8,13.6,8.6,0.06,100.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,96,2026-08-28T23:08:00Z,37.5222725,126.9171267,23.7,16.2,9.2,0.5,226.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,97,2026-08-28T23:08:05Z,37.5221961,126.9174872,17.5,22.9,20.7,0.52,105.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,98,2026-08-28T23:08:10Z,37.5220161,126.9178646,26.7,14.8,13.4,0.1,121.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,99,2026-08-28T23:08:15Z,37.5218793,126.9182104,13.3,8.0,17.2,13.27,116.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,100,2026-08-28T23:08:20Z,37.52174,126.9185161,44.8,17.6,10.7,5.72,119.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,101,2026-08-28T23:08:25Z,37.5215974,126.9189129,33.3,19.4,20.5,11.93,114.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,102,2026-08-28T23:08:30Z,37.5214545,126.919236,38.1,16.1,7.2,6.89,119.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,103,2026-08-28T23:08:35Z,37.5213206,126.9196339,23.9,9.0,17.0,13.19,113.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,104,2026-08-28T23:08:40Z,37.5211801,126.9199879,22.5,17.3,17.1,9.49,116.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,105,2026-08-28T23:08:45Z,37.5210245,126.9203674,34.3,10.3,14.2,15.76,117.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,106,2026-08-28T23:08:50Z,37.5209241,126.9206701,13.6,17.3,21.0,11.87,112.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,107,2026-08-28T23:08:55Z,37.5207961,126.9210524,27.0,22.5,21.0,14.46,112.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,108,2026-08-28T23:09:00Z,37.520627,126.9213649,29.0,12.9,21.4,7.42,124.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,109,2026-08-28T23:09:05Z,37.5204744,126.9217169,34.1,21.3,8.1,11.99,118.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,110,2026-08-28T23:09:10Z,37.5203553,126.9220705,32.4,15.2,9.2,8.33,113.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,111,2026-08-28T23:09:15Z,37.5201957,126.9224056,34.2,19.8,18.5,7.46,121.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,112,2026-08-28T23:09:20Z,37.5200785,126.9227484,13.9,8.4,11.3,7.7,113.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,113,2026-08-28T23:09:25Z,37.519921,126.9231151,41.1,11.8,9.3,6.0,118.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,114,2026-08-28T23:09:30Z,37.5197948,126.9234835,21.0,16.5,15.5,8.58,113.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,115,2026-08-28T23:09:35Z,37.5196446,126.9238299,41.9,24.4,8.1,11.78,118.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,116,2026-08-28T23:09:40Z,37.5195343,126.9241981,27.9,12.6,7.6,5.75,110.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,117,2026-08-28T23:09:45Z,37.5193738,126.924564,39.2,21.1,13.6,7.71,119.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,118,2026-08-28T23:09:50Z,37.5192706,126.9249037,32.4,13.2,10.4,11.94,111.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,119,2026-08-28T23:09:55Z,37.5190922,126.92523,27.1,11.4,10.8,6.51,124.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,120,2026-08-28T23:10:00Z,37.5189344,126.9256172,38.1,8.6,13.1,6.3,117.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,121,2026-08-28T23:10:05Z,37.5188225,126.9259441,41.5,14.5,11.3,15.36,113.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,122,2026-08-28T23:10:10Z,37.5186379,126.9263354,39.6,12.3,14.5,6.83,120.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,123,2026-08-28T23:10:15Z,37.5185015,126.9266569,40.4,11.3,20.8,9.4,118.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,124,2026-08-28T23:10:20Z,37.5184271,126.9270311,21.5,9.3,16.5,15.7,104.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,125,2026-08-28T23:10:25Z,37.518268,126.9273726,22.0,10.6,21.0,13.42,120.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,126,2026-08-28T23:10:30Z,37.5181378,126.9276838,23.4,16.6,18.8,7.05,117.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,127,2026-08-28T23:10:35Z,37.5179849,126.9280409,15.6,15.1,7.8,9.72,118.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,128,2026-08-28T23:10:40Z,37.517841,126.9284256,27.7,15.5,13.0,14.39,115.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,129,2026-08-28T23:10:45Z,37.5176943,126.9287204,18.1,23.8,13.0,12.05,122.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,130,2026-08-28T23:10:50Z,37.5175497,126.9291217,36.0,16.3,10.5,11.87,114.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,131,2026-08-28T23:10:55Z,37.5177584,126.9289264,31.3,8.5,9.0,9.2,323.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,132,2026-08-28T23:11:00Z,37.5180122,126.9286366,28.8,12.9,9.7,14.08,317.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,133,2026-08-28T23:11:05Z,37.518248,126.9283897,14.4,9.0,11.6,15.43,320.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,134,2026-08-28T23:11:10Z,37.5184987,126.9281021,36.2,10.2,21.2,13.87,317.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,135,2026-08-28T23:11:15Z,37.5187245,126.9279415,26.8,20.6,14.5,15.45,330.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,136,2026-08-28T23:11:20Z,37.5189296,126.9276491,29.1,20.7,17.0,11.0,311.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,137,2026-08-28T23:11:25Z,37.5192204,126.9273867,34.7,17.2,16.7,7.44,324.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,138,2026-08-28T23:11:30Z,37.5194354,126.9271148,14.3,15.0,14.2,11.77,314.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,139,2026-08-28T23:11:35Z,37.519696,126.9268508,37.6,23.1,10.7,12.9,321.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,140,2026-08-28T23:11:40Z,37.5199461,126.9266646,42.2,8.5,17.3,10.42,329.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,141,2026-08-28T23:11:45Z,37.5201716,126.9263723,29.7,22.7,8.7,15.45,314.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,142,2026-08-28T23:11:50Z,37.5203879,126.9261541,19.6,21.4,16.9,15.5,321.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,143,2026-08-28T23:11:55Z,37.5206331,126.9258641,29.5,18.6,20.2,6.02,316.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,144,2026-08-28T23:12:00Z,37.5208526,126.9256165,16.3,22.3,10.8,11.96,318.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,145,2026-08-28T23:12:05Z,37.5211478,126.925373,37.5,15.3,17.6,15.33,326.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,146,2026-08-28T23:12:10Z,37.5213706,126.9251006,28.5,13.1,15.0,14.66,315.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,147,2026-08-28T23:12:15Z,37.5215733,126.9249243,34.7,22.7,7.2,5.31,325.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,148,2026-08-28T23:12:20Z,37.521802,126.9251951,36.3,21.3,15.5,6.39,43.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,149,2026-08-28T23:12:25Z,37.5220578,126.9255043,34.8,17.6,9.1,8.68,43.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,150,2026-08-28T23:12:30Z,37.5222365,126.9257507,29.2,21.1,7.8,11.27,47.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,151,2026-08-28T23:12:35Z,37.5224372,126.92611,26.7,20.9,13.2,6.27,54.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,152,2026-08-28T23:12:40Z,37.5226575,126.9263993,33.0,19.6,8.5,8.7,46.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,153,2026-08-28T23:12:45Z,37.5228812,126.926697,28.0,10.7,11.7,7.69,46.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,154,2026-08-28T23:12:50Z,37.5230389,126.9269482,16.7,15.0,11.7,13.27,51.6
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,155,2026-08-28T23:12:55Z,37.5232121,126.9272575,32.6,16.7,19.6,10.35,54.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,156,2026-08-28T23:13:00Z,37.5234768,126.9275965,41.5,10.2,21.6,12.74,45.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,157,2026-08-28T23:13:05Z,37.5236464,126.9279082,38.0,9.7,22.0,7.47,55.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,158,2026-08-28T23:13:10Z,37.5238514,126.9281979,15.1,21.6,8.0,8.97,48.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,159,2026-08-28T23:13:15Z,37.5240331,126.9284532,31.4,16.3,7.4,12.14,48.1
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,160,2026-08-28T23:13:20Z,37.5242754,126.9287685,12.3,24.0,14.1,12.51,45.9
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,161,2026-08-28T23:13:25Z,37.5244927,126.9290817,34.1,15.0,14.3,11.46,48.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,162,2026-08-28T23:13:30Z,37.5247159,126.9293599,39.6,21.0,15.2,13.45,44.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,163,2026-08-28T23:13:35Z,37.5248973,126.9296889,30.4,12.1,12.3,13.88,55.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,164,2026-08-28T23:13:40Z,37.5250996,126.9299326,16.2,17.9,13.3,14.09,43.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,165,2026-08-28T23:13:45Z,37.5252803,126.9302346,36.6,14.7,19.7,9.96,53.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,166,2026-08-28T23:13:50Z,37.52551,126.930551,44.6,23.9,9.3,6.96,47.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,167,2026-08-28T23:13:55Z,37.5257106,126.9308716,27.1,18.0,10.2,13.19,51.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,168,2026-08-28T23:14:00Z,37.5259003,126.9311134,41.3,14.9,15.0,8.85,45.3
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,169,2026-08-28T23:14:05Z,37.5261367,126.9314088,33.2,20.5,18.0,8.34,44.7
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,170,2026-08-28T23:14:10Z,37.5263302,126.9317207,16.8,17.4,19.4,7.65,52.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,171,2026-08-28T23:14:15Z,37.5265464,126.9320005,15.6,24.0,8.7,6.66,45.8
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,172,2026-08-28T23:14:20Z,37.5267609,126.932312,25.6,21.4,11.2,10.48,49.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,173,2026-08-28T23:14:25Z,37.5269363,126.9326167,15.1,12.6,13.5,13.77,54.0
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,174,2026-08-28T23:14:30Z,37.5271555,126.9328971,18.4,21.0,16.0,11.36,45.4
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,175,2026-08-28T23:14:35Z,37.5273788,126.9331529,17.9,10.8,16.0,13.66,42.2
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,176,2026-08-28T23:14:40Z,37.5276232,126.933435,40.9,21.9,16.9,13.9,42.5
1.0,trip-ydp-gwanghwamun-001,iphone-test-001,177,2026-08-28T23:14:45Z,37.5278706,126.9336479,30.6,15.2,21.5,5.8,34.3
