trip_id,status,scenario_category,ground_truth_sequence,raw_prediction_sequence,final_prediction_sequence,correct_raw,correct_final,window_count
trip_000087,PASS,walk,walk,walk,walk,True,True,20
trip_000088,PASS,walk,walk,walk,walk,True,True,41
trip_000089,PASS,walk,walk,walk,walk,True,True,36
trip_000090,PASS,walk,walk,walk,walk,True,True,18
trip_000091,PASS,walk,walk,walk,walk,True,True,14
trip_000092,PASS,walk,walk,walk,walk,True,True,60
trip_000093,PASS,walk,walk,walk,walk,True,True,38
trip_000094,PASS,walk,walk,walk,walk,True,True,38
trip_000095,PASS,walk,walk,walk,walk,True,True,35
trip_000096,PASS,walk,walk,walk,walk,True,True,60
trip_000097,PASS,walk,walk,walk,walk,True,True,15
trip_000098,PASS,walk,walk,walk,walk,True,True,56
trip_000099,PASS,walk,walk,walk,walk,True,True,18
trip_000100,PASS,walk,walk,walk,walk,True,True,17
trip_000101,PASS,walk,walk,walk,walk,True,True,46
trip_000102,PASS,walk,walk,walk,walk,True,True,67
trip_000103,PASS,walk,walk,walk,walk,True,True,40
trip_000104,PASS,walk,walk,walk,walk,True,True,18
trip_000105,PASS,walk,walk,walk,walk,True,True,55
trip_000106,PASS,walk,walk,walk,walk,True,True,38
trip_000107,PASS,walk,walk,walk,walk,True,True,43
trip_000108,PASS,walk,walk,walk,walk,True,True,47
trip_000109,PASS,walk,walk,walk,walk,True,True,53
trip_000110,PASS,walk,walk,walk,walk,True,True,18
trip_000111,PASS,walk,walk,walk,walk,True,True,18
trip_000112,PASS,walk,walk,walk,walk,True,True,44
trip_000113,PASS,walk,walk,walk,walk,True,True,39
trip_000114,PASS,walk,walk,walk,walk,True,True,16
trip_000115,PASS,walk,walk,walk,walk,True,True,16
trip_000116,PASS,walk,walk,walk,walk,True,True,15
trip_000117,PASS,walk,walk,walk,walk,True,True,17
trip_000118,PASS,walk,walk,walk,walk,True,True,19
trip_000119,PASS,walk,walk,walk,walk,True,True,52
trip_000120,PASS,walk,walk,walk,walk,True,True,44
trip_000121,PASS,bike,bike,car,car,False,False,10
trip_000122,PASS,bike,bike,car,rail,False,False,12
trip_000123,PASS,bike,bike,car,car,False,False,10
trip_000124,PASS,bike,bike,car,rail,False,False,14
trip_000125,PASS,bike,bike,bike,bike,True,True,12
trip_000126,PASS,bike,bike,car,car,False,False,4
trip_000127,PASS,bike,bike,bike,rail,True,False,15
trip_000128,PASS,bike,bike,bike,rail,True,False,12
trip_000129,PASS,bike,bike,bike,bike,True,True,7
trip_000130,PASS,bike,bike,car,car,False,False,16
trip_000131,PASS,bike,bike,bike,bike,True,True,16
trip_000132,PASS,bike,bike,car,car,False,False,5
trip_000133,PASS,bike,bike,bike,bike,True,True,5
trip_000134,PASS,bike,bike,car,rail,False,False,15
trip_000135,PASS,bike,bike,car,rail,False,False,15
trip_000136,PASS,bike,bike,car,car,False,False,6
trip_000137,PASS,bike,bike,bike,bike,True,True,4
trip_000138,PASS,bike,bike,car,car,False,False,10
trip_000139,PASS,bike,bike,bike,rail,True,False,15
trip_000140,PASS,bike,bike,car,rail,False,False,14
trip_000141,PASS,bike,bike,car,rail,False,False,15
trip_000142,PASS,bike,bike,bike,rail,True,False,17
trip_000143,PASS,bike,bike,bike,bike,True,True,12
trip_000144,PASS,bike,bike,car,car,False,False,11
trip_000145,PASS,bike,bike,car,car,False,False,17
trip_000146,PASS,bike,bike,bike,rail,True,False,12
trip_000147,PASS,bike,bike,bike,rail,True,False,12
trip_000148,PASS,bike,bike,bike,bike,True,True,9
trip_000149,PASS,bike,bike,car,car,False,False,6
trip_000150,PASS,bike,bike,car,car,False,False,13
trip_000151,PASS,bike,bike,car,car,False,False,10
trip_000152,PASS,bike,bike,bike,bike,True,True,10
trip_000153,PASS,bike,bike,bike,rail,True,False,14
trip_000154,PASS,bike,bike,car,car,False,False,12
trip_000155,PASS,bike,bike,bike,bike,True,True,12
trip_000156,PASS,bike,bike,bike,rail,True,False,15
trip_000157,PASS,bike,bike,bike,bike,True,True,12
trip_000158,PASS,bike,bike,bike,bike,True,True,5
trip_000159,PASS,bike,bike,bike,rail,True,False,13
trip_000160,PASS,bike,bike,car,car,False,False,5
trip_000161,PASS,bike,bike,bike,rail,True,False,14
trip_000162,PASS,bike,bike,bike,rail,True,False,13
trip_000163,PASS,bike,bike,bike,bike,True,True,12
trip_000164,PASS,bike,bike,bike,rail,True,False,17
trip_000165,PASS,bike,bike,bike,bike,True,True,13
trip_000166,PASS,bike,bike,car,rail,False,False,14
trip_000167,PASS,bike,bike,bike,bike,True,True,14
trip_000168,PASS,bike,bike,bike,rail,True,False,13
trip_000169,PASS,bike,bike,bike,bike,True,True,5
trip_000170,PASS,bike,bike,bike,rail,True,False,15
trip_000171,PASS,bike,bike,bike,bike,True,True,7
trip_000172,PASS,bike,bike,bike,rail,True,False,13
trip_000173,PASS,bike,bike,car,car,False,False,11
trip_000174,PASS,bike,bike,bike,rail,True,False,17
trip_000175,PASS,bike,bike,bike,bike,True,True,7
trip_000176,PASS,bike,bike,bike,rail,True,False,11
trip_000177,PASS,bike,bike,bike,rail,True,False,13
trip_000178,PASS,bike,bike,car,car,False,False,12
trip_000179,PASS,bike,bike,car,rail,False,False,15
trip_000180,PASS,bike,bike,bike,bike,True,True,9
trip_000181,PASS,bike,bike,bike,rail,True,False,13
trip_000182,PASS,bike,bike,bike,bike,True,True,6
trip_000183,PASS,bike,bike,bike,bike,True,True,8
trip_000184,PASS,bike,bike,bike,bike,True,True,10
trip_000185,PASS,bike,bike,bike,bike,True,True,5
trip_000186,PASS,bike,bike,bike,bike,True,True,16
trip_000187,PASS,bike,bike,car,rail,False,False,14
trip_000188,PASS,bike,bike,car,rail,False,False,18
trip_000189,PASS,bike,bike,bike,bike,True,True,10
trip_000190,PASS,bike,bike,bike,rail,True,False,13
trip_000191,PASS,bike,bike,bike,bike,True,True,5
trip_000192,PASS,bike,bike,bike,rail,True,False,12
trip_000193,PASS,bike,bike,car,car,False,False,7
trip_000194,PASS,bike,bike,bike,bike,True,True,8
trip_000195,PASS,bike,bike,car,car,False,False,15
trip_000196,PASS,bike,bike,bike,bike,True,True,7
trip_000197,PASS,bike,bike,bike,bike,True,True,7
trip_000198,PASS,bike,bike,car,rail,False,False,12
trip_000199,PASS,bike,bike,bike,bike,True,True,18
trip_000200,PASS,bike,bike,bike,rail,True,False,11
trip_000201,PASS,bike,bike,bike,rail,True,False,13
trip_000202,PASS,bike,bike,bike,rail,True,False,14
trip_000203,PASS,bike,bike,bike,rail,True,False,12
trip_000204,PASS,bike,bike,car,car,False,False,5
trip_000205,PASS,bike,bike,car,car,False,False,10
trip_000206,PASS,bike,bike,car,car,False,False,16
trip_000207,PASS,bike,bike,bike,rail,True,False,13
trip_000208,PASS,bike,bike,bike,bike,True,True,10
trip_000209,PASS,bike,bike,car,car,False,False,12
trip_000210,PASS,bike,bike,bike,bike,True,True,18
trip_000211,PASS,bike,bike,bike,bike,True,True,11
trip_000212,PASS,bike,bike,bike,bike,True,True,11
trip_000213,PASS,bike,bike,car,car,False,False,12
trip_000214,PASS,bike,bike,bike,bike,True,True,5
trip_000215,PASS,bike,bike,bike,bike,True,True,7
trip_000216,PASS,bike,bike,car,car,False,False,16
trip_000217,PASS,bike,bike,bike,rail,True,False,13
trip_000218,PASS,bike,bike,car,rail,False,False,12
trip_000219,PASS,bike,bike,bike,rail,True,False,14
trip_000220,PASS,bike,bike,car,car,False,False,5
trip_000221,PASS,bike,bike,bike,bike,True,True,4
trip_000222,PASS,bike,bike,car,rail,False,False,13
trip_000223,PASS,bike,bike,car,car,False,False,9
trip_000224,PASS,bike,bike,bike,bike,True,True,19
trip_000225,PASS,bike,bike,car,car,False,False,12
trip_000226,PASS,bike,bike,bike,bike,True,True,9
trip_000227,PASS,bike,bike,car,car,False,False,17
trip_000228,PASS,bike,bike,car,car,False,False,12
trip_000229,PASS,bike,bike,bike,bike,True,True,9
trip_000230,PASS,bike,bike,bike,bike,True,True,4
trip_000231,PASS,car,car,car,car,True,True,7
trip_000232,PASS,car,car,car,car,True,True,8
trip_000233,PASS,car,car,car,car,True,True,5
trip_000234,PASS,car,car,car,car,True,True,9
trip_000235,PASS,car,car,bike,rail,False,False,9
trip_000236,PASS,car,car,car,car,True,True,6
trip_000237,PASS,car,car,bike,bike,False,False,14
trip_000238,PASS,car,car,car,car,True,True,8
trip_000239,PASS,car,car,car,rail,True,False,11
trip_000240,PASS,car,car,car,car,True,True,9
trip_000241,PASS,car,car,car,car,True,True,4
trip_000242,PASS,car,car,car,car,True,True,7
trip_000243,PASS,car,car,bike,car,False,True,8
trip_000244,PASS,car,car,bike,bike,False,False,7
trip_000245,PASS,car,car,car,car,True,True,8
trip_000246,PASS,car,car,bike,rail,False,False,8
trip_000247,PASS,car,car,bike,bike,False,False,6
trip_000248,PASS,car,car,car,car,True,True,6
trip_000249,PASS,car,car,car,car,True,True,9
trip_000250,PASS,car,car,car,car,True,True,8
trip_000251,PASS,car,car,car,car,True,True,9
trip_000252,PASS,car,car,car,car,True,True,6
trip_000253,PASS,car,car,bike,rail,False,False,8
trip_000254,PASS,car,car,car,car,True,True,9
trip_000255,PASS,car,car,car,car,True,True,5
trip_000256,PASS,car,car,car,car,True,True,5
trip_000257,PASS,car,car,car,car,True,True,8
trip_000258,PASS,car,car,car,rail,True,False,10
trip_000259,PASS,car,car,car,car,True,True,8
trip_000260,PASS,car,car,car,rail,True,False,13
trip_000261,PASS,car,car,car,car,True,True,8
trip_000262,PASS,car,car,car,rail,True,False,12
trip_000263,PASS,car,car,car,rail,True,False,9
trip_000264,PASS,car,car,bike,bike,False,False,8
trip_000265,PASS,car,car,car,car,True,True,7
trip_000266,PASS,car,car,car,car,True,True,9
trip_000267,PASS,car,car,car,car,True,True,8
trip_000268,PASS,car,car,car,car,True,True,8
trip_000269,PASS,car,car,bike,bike,False,False,6
trip_000270,PASS,car,car,car,car,True,True,7
trip_000271,PASS,car,car,car,car,True,True,7
trip_000272,PASS,car,car,car,car,True,True,9
trip_000273,PASS,car,car,car,rail,True,False,9
trip_000274,PASS,car,car,car,rail,True,False,8
trip_000275,PASS,car,car,bike,bike,False,False,9
trip_000276,PASS,car,car,car,car,True,True,7
trip_000277,PASS,car,car,bike,bike,False,False,7
trip_000278,PASS,car,car,bike,bike,False,False,10
trip_000279,PASS,car,car,bike,rail,False,False,10
trip_000280,PASS,car,car,car,car,True,True,5
trip_000281,PASS,car,car,bike,bike,False,False,6
trip_000282,PASS,car,car,car,car,True,True,6
trip_000283,PASS,car,car,bike,rail,False,False,9
trip_000284,PASS,car,car,car,rail,True,False,7
trip_000285,PASS,car,car,car,car,True,True,11
trip_000286,PASS,car,car,car,car,True,True,8
trip_000287,PASS,car,car,car,car,True,True,9
trip_000288,PASS,car,car,car,car,True,True,7
trip_000289,PASS,car,car,bike,rail,False,False,8
trip_000290,PASS,car,car,car,car,True,True,5
trip_000291,PASS,car,car,bike,rail,False,False,9
trip_000292,PASS,car,car,bike,rail,False,False,10
trip_000293,PASS,car,car,car,car,True,True,6
trip_000294,PASS,car,car,car,car,True,True,7
trip_000295,PASS,car,car,car,car,True,True,8
trip_000296,PASS,car,car,car,rail,True,False,12
trip_000297,PASS,car,car,car,car,True,True,7
trip_000298,PASS,car,car,car,car,True,True,7
trip_000299,PASS,car,car,car,car,True,True,12
trip_000300,PASS,car,car,car,car,True,True,7
trip_000301,PASS,car,car,car,rail,True,False,7
trip_000302,PASS,car,car,car,car,True,True,6
trip_000303,PASS,car,car,car,car,True,True,7
trip_000304,PASS,car,car,car,car,True,True,9
trip_000305,PASS,car,car,car,rail,True,False,12
trip_000306,PASS,car,car,car,rail,True,False,9
trip_000307,PASS,car,car,bike,bike,False,False,13
trip_000308,PASS,car,car,car,car,True,True,9
trip_000309,PASS,car,car,car,rail,True,False,8
trip_000310,PASS,car,car,bike,bike,False,False,10
trip_000311,PASS,car,car,bike,bike,False,False,6
trip_000312,PASS,car,car,car,car,True,True,8
trip_000313,PASS,car,car,bike,rail,False,False,11
trip_000314,PASS,car,car,car,car,True,True,6
trip_000315,PASS,car,car,bike,rail,False,False,11
trip_000316,PASS,car,car,bike,car,False,True,7
trip_000317,PASS,car,car,car,car,True,True,6
trip_000318,PASS,car,car,bike,bike,False,False,7
trip_000319,PASS,car,car,car,car,True,True,8
trip_000320,PASS,car,car,car,car,True,True,5
trip_000321,PASS,car,car,car,car,True,True,7
trip_000322,PASS,car,car,car,car,True,True,5
trip_000323,PASS,car,car,car,car,True,True,5
trip_000324,PASS,car,car,car,car,True,True,7
trip_000325,PASS,car,car,bike,bike,False,False,12
trip_000326,PASS,car,car,bike,bike,False,False,13
trip_000327,PASS,car,car,bike,rail,False,False,10
trip_000328,PASS,car,car,car,car,True,True,8
trip_000329,PASS,car,car,car,rail,True,False,11
trip_000330,PASS,car,car,car,car,True,True,5
trip_000331,PASS,car,car,bike,bike,False,False,9
trip_000332,PASS,car,car,car,car,True,True,5
trip_000333,PASS,car,car,car,car,True,True,11
trip_000334,PASS,car,car,bike,bike,False,False,8
trip_000335,PASS,car,car,car,rail,True,False,8
trip_000336,PASS,car,car,car,car,True,True,4
trip_000337,PASS,car,car,car,rail,True,False,10
trip_000338,PASS,car,car,car,car,True,True,8
trip_000339,PASS,car,car,car,car,True,True,8
trip_000340,PASS,car,car,car,rail,True,False,8
trip_000341,PASS,bus,bus,car,car,False,False,12
trip_000342,PASS,bus,bus,car,car,False,False,2
trip_000343,PASS,bus,bus,car,car,False,False,124
trip_000344,PASS,bus,bus,car,car,False,False,10
trip_000345,FAIL,bus,,,,,,0
trip_000346,PASS,bus,bus,car,car,False,False,8
trip_000347,PASS,bus,bus,car,car,False,False,3
trip_000348,PASS,bus,bus,car,car,False,False,1
trip_000349,PASS,bus,bus,car,car,False,False,3
trip_000350,PASS,bus,bus,car,car,False,False,11
trip_000351,PASS,bus,bus,car,car,False,False,3
trip_000352,PASS,bus,bus,car,car,False,False,7
trip_000353,PASS,bus,bus,car,car,False,False,6
trip_000354,PASS,bus,bus,car,car,False,False,2
trip_000355,PASS,bus,bus,car,car,False,False,37
trip_000356,PASS,bus,bus,car,car,False,False,2
trip_000357,PASS,bus,bus,car,car,False,False,23
trip_000358,PASS,bus,bus,car,car,False,False,9
trip_000359,PASS,bus,bus,car,car,False,False,4
trip_000360,PASS,bus,bus,car,car,False,False,19
trip_000361,PASS,bus,bus,car,car,False,False,7
trip_000362,PASS,bus,bus,car,car,False,False,3
trip_000363,PASS,bus,bus,car,car,False,False,3
trip_000364,PASS,bus,bus,car,rail,False,False,25
trip_000365,PASS,bus,bus,bike,bike,False,False,151
trip_000366,PASS,bus,bus,car,car,False,False,7
trip_000367,PASS,bus,bus,car,car,False,False,1
trip_000368,PASS,bus,bus,car,car,False,False,1
trip_000369,PASS,bus,bus,car,car,False,False,5
trip_000370,PASS,bus,bus,car,car,False,False,1
trip_000371,PASS,bus,bus,bike,bike,False,False,45
trip_000372,FAIL,bus,,,,,,0
trip_000373,PASS,bus,bus,car,car,False,False,10
trip_000374,PASS,bus,bus,car,car,False,False,4
trip_000375,PASS,bus,bus,car,car,False,False,12
trip_000376,PASS,bus,bus,car,car,False,False,3
trip_000377,PASS,bus,bus,car,car,False,False,4
trip_000378,PASS,bus,bus,car,car,False,False,5
trip_000379,PASS,bus,bus,car,car,False,False,1
trip_000380,PASS,bus,bus,car,car,False,False,1
trip_000381,PASS,bus,bus,car,car,False,False,41
trip_000382,PASS,bus,bus,car,car,False,False,20
trip_000383,PASS,bus,bus,car,car,False,False,9
trip_000384,PASS,bus,bus,car,car,False,False,16
trip_000385,PASS,bus,bus,car,car,False,False,1
trip_000386,PASS,bus,bus,car,car,False,False,8
trip_000387,PASS,bus,bus,car,car,False,False,3
trip_000388,PASS,bus,bus,car,car,False,False,7
trip_000389,PASS,bus,bus,car,car,False,False,1
trip_000390,PASS,bus,bus,car,car,False,False,4
trip_000391,PASS,bus,bus,car,car,False,False,1
trip_000392,PASS,bus,bus,car,car,False,False,3
trip_000393,PASS,bus,bus,walk,walk,False,False,2
trip_000394,PASS,bus,bus,walk,walk,False,False,4
trip_000395,PASS,bus,bus,car,car,False,False,2
trip_000396,PASS,bus,bus,car,car,False,False,9
trip_000397,PASS,bus,bus,car,car,False,False,7
trip_000398,PASS,bus,bus,car,car,False,False,6
trip_000399,PASS,bus,bus,car,car,False,False,11
trip_000400,PASS,bus,bus,bike,bike,False,False,5
trip_000401,PASS,bus,bus,car,car,False,False,12
trip_000402,PASS,bus,bus,car,car,False,False,1
trip_000403,PASS,bus,bus,bike,bike,False,False,37
trip_000404,PASS,bus,bus,car,car,False,False,12
trip_000405,PASS,bus,bus,car,car,False,False,2
trip_000406,PASS,bus,bus,car,car,False,False,12
trip_000407,PASS,bus,bus,car,car,False,False,4
trip_000408,PASS,bus,bus,car,car,False,False,21
trip_000409,PASS,bus,bus,car,car,False,False,5
trip_000410,PASS,bus,bus,bike,bike,False,False,30
trip_000411,PASS,bus,bus,bike,car,False,False,15
trip_000412,PASS,bus,bus,car,car,False,False,8
trip_000413,PASS,bus,bus,car,car,False,False,10
trip_000414,PASS,bus,bus,car,car,False,False,8
trip_000415,PASS,bus,bus,car,car,False,False,3
trip_000416,PASS,bus,bus,car,car,False,False,12
trip_000417,PASS,bus,bus,car,car,False,False,8
trip_000418,PASS,bus,bus,car,car,False,False,6
trip_000419,PASS,bus,bus,car,car,False,False,2
trip_000420,PASS,bus,bus,car,car,False,False,1
trip_000421,PASS,bus,bus,car,car,False,False,7
trip_000422,PASS,bus,bus,car,car,False,False,2
trip_000423,PASS,bus,bus,car,car,False,False,9
trip_000424,PASS,bus,bus,car,car,False,False,15
trip_000425,PASS,bus,bus,car,car,False,False,13
trip_000426,PASS,bus,bus,car,car,False,False,17
trip_000427,PASS,bus,bus,car,car,False,False,7
trip_000428,PASS,bus,bus,car,car,False,False,26
trip_000429,PASS,bus,bus,car,rail,False,False,16
trip_000430,PASS,bus,bus,car,rail,False,False,11
trip_000431,PASS,bus,bus,car,rail,False,False,16
trip_000432,PASS,bus,bus,car,car,False,False,2
trip_000433,PASS,bus,bus,car,car,False,False,3
trip_000434,PASS,bus,bus,car,car,False,False,9
trip_000435,PASS,bus,bus,car,car,False,False,4
trip_000436,PASS,bus,bus,car,car,False,False,4
trip_000437,PASS,bus,bus,bike,bike,False,False,34
trip_000438,PASS,bus,bus,car,car,False,False,3
trip_000439,PASS,bus,bus,car,rail,False,False,26
trip_000440,PASS,bus,bus,car,car,False,False,10
trip_000441,PASS,rail,rail,car,rail,False,True,5
trip_000442,PASS,rail,rail,car,car,False,False,17
trip_000443,PASS,rail,rail,car,rail,False,True,8
trip_000444,PASS,rail,rail,car,car,False,False,7
trip_000445,PASS,rail,rail,car,rail,False,True,6
trip_000446,PASS,rail,rail,car,rail,False,True,11
trip_000447,PASS,rail,rail,car,car,False,False,25
trip_000448,PASS,rail,rail,car,car,False,False,4
trip_000449,PASS,rail,rail,car,car,False,False,13
trip_000450,PASS,rail,rail,car,rail,False,True,7
trip_000451,PASS,rail,rail,car,car,False,False,2
trip_000452,PASS,rail,rail,car,rail,False,True,23
trip_000453,PASS,rail,rail,car,car,False,False,16
trip_000454,PASS,rail,rail,car,car,False,False,17
trip_000455,PASS,rail,rail,car,car,False,False,7
trip_000456,PASS,rail,rail,car,rail,False,True,7
trip_000457,PASS,rail,rail,car,car,False,False,17
trip_000458,PASS,rail,rail,car,car,False,False,14
trip_000459,PASS,rail,rail,car,car,False,False,4
trip_000460,PASS,rail,rail,car,car,False,False,15
trip_000461,PASS,rail,rail,car,car,False,False,12
trip_000462,PASS,rail,rail,car,car,False,False,14
trip_000463,PASS,rail,rail,car,car,False,False,4
trip_000464,PASS,rail,rail,car,car,False,False,3
trip_000465,PASS,rail,rail,car,rail,False,True,6
trip_000466,PASS,rail,rail,car,rail,False,True,7
trip_000467,PASS,rail,rail,car,car,False,False,4
trip_000468,PASS,rail,rail,car,rail,False,True,14
trip_000469,PASS,rail,rail,car,car,False,False,24
trip_000470,PASS,rail,rail,car,rail,False,True,5
trip_000471,PASS,rail,rail,car,car,False,False,5
trip_000472,PASS,rail,rail,car,car,False,False,12
trip_000473,PASS,rail,rail,car,car,False,False,8
trip_000474,PASS,rail,rail,car,rail,False,True,5
trip_000475,PASS,rail,rail,car,rail,False,True,6
trip_000476,PASS,rail,rail,car,car,False,False,2
trip_000477,PASS,rail,rail,car,car,False,False,2
trip_000478,PASS,rail,rail,car,car,False,False,10
trip_000479,PASS,rail,rail,car,rail,False,True,11
trip_000480,PASS,rail,rail,car,car,False,False,28
trip_000481,PASS,rail,rail,car,car,False,False,6
trip_000482,PASS,rail,rail,car,car,False,False,12
trip_000483,PASS,rail,rail,car,car,False,False,17
trip_000484,PASS,rail,rail,car,car,False,False,11
trip_000485,PASS,rail,rail,car,rail,False,True,17
trip_000486,PASS,rail,rail,car,car,False,False,2
trip_000487,PASS,rail,rail,car,car,False,False,30
trip_000488,PASS,rail,rail,car,car,False,False,10
trip_000489,PASS,rail,rail,car,car,False,False,8
trip_000490,PASS,rail,rail,car,rail,False,True,6
trip_000491,PASS,rail,rail,car,car,False,False,7
trip_000492,PASS,rail,rail,car,rail,False,True,13
trip_000493,PASS,rail,rail,car,car,False,False,16
trip_000494,PASS,rail,rail,car,car,False,False,9
trip_000495,PASS,rail,rail,car,car,False,False,11
trip_000496,PASS,rail,rail,car,rail,False,True,13
trip_000497,PASS,rail,rail,car,car,False,False,6
trip_000498,PASS,rail,rail,car,rail,False,True,10
trip_000499,PASS,rail,rail,car,car,False,False,20
trip_000500,PASS,rail,rail,car,car,False,False,4
trip_000501,PASS,rail,rail,car,car,False,False,6
trip_000502,PASS,rail,rail,car,car,False,False,2
trip_000503,PASS,rail,rail,car,rail,False,True,15
trip_000504,PASS,rail,rail,car,rail,False,True,7
trip_000505,PASS,rail,rail,car,rail,False,True,10
trip_000506,PASS,rail,rail,car,rail,False,True,10
trip_000507,PASS,rail,rail,car,car,False,False,2
trip_000508,PASS,rail,rail,car,car,False,False,3
trip_000509,PASS,rail,rail,car,car,False,False,2
trip_000510,PASS,rail,rail,car,car,False,False,2
trip_000511,PASS,rail,rail,car,rail,False,True,12
trip_000512,PASS,rail,rail,car,car,False,False,8
trip_000513,PASS,rail,rail,car,car,False,False,7
trip_000514,PASS,rail,rail,car,car,False,False,2
trip_000515,PASS,rail,rail,car,car,False,False,3
trip_000516,PASS,rail,rail,car,rail,False,True,15
trip_000517,PASS,rail,rail,car,car,False,False,2
trip_000518,PASS,rail,rail,car,rail,False,True,7
trip_000519,PASS,rail,rail,car,rail,False,True,17
trip_000520,PASS,rail,rail,car,car,False,False,6
trip_000521,PASS,rail,rail,car,car,False,False,11
trip_000522,PASS,rail,rail,car,car,False,False,3
trip_000523,PASS,rail,rail,car,car,False,False,13
