trip_id,ground_truth,raw_prediction,final_prediction,scenario_category,hard_case_type
trip_000381,bus,car,car,bus,
trip_000382,bus,car,car,bus,
trip_000383,bus,car,car,bus,
trip_000384,bus,car,car,bus,
trip_000385,bus,car,car,bus,
trip_000386,bus,car,car,bus,
trip_000387,bus,car,car,bus,
trip_000388,bus,car,car,bus,
trip_000389,bus,car,car,bus,
trip_000390,bus,car,car,bus,
trip_000391,bus,car,car,bus,
trip_000392,bus,car,car,bus,
trip_000393,bus,walk,walk,bus,
trip_000394,bus,walk,walk,bus,
trip_000395,bus,car,car,bus,
trip_000396,bus,car,car,bus,
trip_000397,bus,car,car,bus,
trip_000398,bus,car,car,bus,
trip_000399,bus,car,car,bus,
trip_000400,bus,bike,bike,bus,
trip_000401,bus,car,car,bus,
trip_000402,bus,car,car,bus,
trip_000403,bus,bike,bike,bus,
trip_000404,bus,car,car,bus,
trip_000405,bus,car,car,bus,
trip_000406,bus,car,car,bus,
trip_000407,bus,car,car,bus,
trip_000408,bus,car,car,bus,
trip_000409,bus,car,car,bus,
trip_000410,bus,bike,bike,bus,
trip_000411,bus,bike,car,bus,
trip_000412,bus,car,car,bus,
trip_000413,bus,car,car,bus,
trip_000414,bus,car,car,bus,
trip_000415,bus,car,car,bus,
trip_000416,bus,car,car,bus,
trip_000417,bus,car,car,bus,
trip_000418,bus,car,car,bus,
trip_000419,bus,car,car,bus,
trip_000420,bus,car,car,bus,
trip_000421,bus,car,car,bus,
trip_000422,bus,car,car,bus,
trip_000423,bus,car,car,bus,
trip_000424,bus,car,car,bus,
trip_000425,bus,car,car,bus,
trip_000426,bus,car,car,bus,
trip_000427,bus,car,car,bus,
trip_000428,bus,car,car,bus,
trip_000429,bus,car,rail,bus,
trip_000430,bus,car,rail,bus,
trip_000431,bus,car,rail,bus,
trip_000432,bus,car,car,bus,
trip_000433,bus,car,car,bus,
trip_000434,bus,car,car,bus,
trip_000435,bus,car,car,bus,
trip_000436,bus,car,car,bus,
trip_000437,bus,bike,bike,bus,
trip_000438,bus,car,car,bus,
trip_000439,bus,car,rail,bus,
trip_000440,bus,car,car,bus,
trip_000442,rail,car,car,rail,
trip_000444,rail,car,car,rail,
trip_000447,rail,car,car,rail,
trip_000448,rail,car,car,rail,
trip_000449,rail,car,car,rail,
trip_000451,rail,car,car,rail,
trip_000453,rail,car,car,rail,
trip_000454,rail,car,car,rail,
trip_000455,rail,car,car,rail,
trip_000457,rail,car,car,rail,
trip_000458,rail,car,car,rail,
trip_000459,rail,car,car,rail,
trip_000460,rail,car,car,rail,
trip_000461,rail,car,car,rail,
trip_000462,rail,car,car,rail,
trip_000463,rail,car,car,rail,
trip_000464,rail,car,car,rail,
trip_000467,rail,car,car,rail,
trip_000469,rail,car,car,rail,
trip_000471,rail,car,car,rail,
trip_000472,rail,car,car,rail,
trip_000473,rail,car,car,rail,
trip_000476,rail,car,car,rail,
trip_000477,rail,car,car,rail,
trip_000478,rail,car,car,rail,
trip_000480,rail,car,car,rail,
trip_000481,rail,car,car,rail,
trip_000482,rail,car,car,rail,
trip_000483,rail,car,car,rail,
trip_000484,rail,car,car,rail,
trip_000486,rail,car,car,rail,
trip_000487,rail,car,car,rail,
trip_000488,rail,car,car,rail,
trip_000489,rail,car,car,rail,
trip_000491,rail,car,car,rail,
trip_000493,rail,car,car,rail,
trip_000494,rail,car,car,rail,
trip_000495,rail,car,car,rail,
trip_000497,rail,car,car,rail,
trip_000499,rail,car,car,rail,
trip_000500,rail,car,car,rail,
trip_000501,rail,car,car,rail,
trip_000502,rail,car,car,rail,
trip_000507,rail,car,car,rail,
trip_000508,rail,car,car,rail,
trip_000509,rail,car,car,rail,
trip_000510,rail,car,car,rail,
trip_000512,rail,car,car,rail,
trip_000513,rail,car,car,rail,
trip_000514,rail,car,car,rail,
trip_000515,rail,car,car,rail,
trip_000517,rail,car,car,rail,
trip_000520,rail,car,car,rail,
trip_000521,rail,car,car,rail,
trip_000522,rail,car,car,rail,
trip_000523,rail,car,car,rail,
trip_000524,rail,car,car,rail,
trip_000525,rail,car,car,rail,
trip_000530,rail,car,car,rail,
trip_000531,rail,car,car,rail,
trip_000532,rail,car,car,rail,
trip_000533,rail,car,car,rail,
trip_000535,rail,car,car,rail,
trip_000536,rail,car,car,rail,
trip_000537,rail,car,car,rail,
trip_000539,rail,car,car,rail,
trip_000540,rail,car,car,rail,
trip_000542,rail,car,car,rail,
trip_000543,rail,car,car,rail,
trip_000544,rail,car,car,rail,
trip_000546,rail,car,car,rail,
trip_000548,rail,car,car,rail,
trip_000549,rail,car,car,rail,
trip_000551,rail,car,car,rail,
trip_000553,rail,car,car,rail,
trip_000554,rail,car,car,rail,
trip_000556,rail,car,car,rail,
trip_000559,rail,car,car,rail,
trip_000560,rail,car,car,rail,
trip_000561,walk|bus|walk,walk|bus|walk|car|walk,walk|bus|walk|car|rail|walk,multimodal,
trip_000562,walk|bus|walk|bus|walk,bike|walk|car|walk|bike|walk|car|walk|car|walk|car|walk|car|walk|car|walk|car|walk|car|walk,bike|walk|car|walk|bike|rail|car|rail|car|rail|car|walk|car|rail|car|walk|car|walk|car|rail|walk|car|rail|walk|car|walk|car|walk,multimodal,
trip_000563,walk|rail|walk|rail|walk,walk|car|walk|car|walk|bike|walk,walk|car|rail|walk|rail|car|rail|walk|bike|walk,multimodal,
trip_000564,walk|bus|walk,walk|car|walk|bike|walk|bike|walk|car|walk|car|walk|bike|walk,walk|car|walk|bike|walk|bike|walk|car|walk|rail|walk|bike|rail|walk,multimodal,
trip_000565,walk|rail|walk|bus|walk,walk|bike|car|bike|car|walk|car|bike|walk,walk|bike|car|bike|car|walk|car|rail|walk,multimodal,
trip_000566,walk|bus|walk,walk|bike|walk|bike|walk|car|walk,walk|bike|walk|bike|walk|car|rail|walk|rail|walk,multimodal,
trip_000567,walk|rail|walk,walk|car|walk|bike|walk,walk|car|walk|bike|walk,multimodal,
trip_000568,walk|rail|walk|bus|walk,walk|car|bike|walk|car|walk|car|walk|car|walk|bike|walk|car|walk|bike|walk|car|walk,walk|car|bike|walk|car|rail|walk|car|walk|car|walk|bike|walk|car|rail|walk|rail|walk|bike|walk|rail|walk|car|walk,multimodal,
trip_000569,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000570,walk|bus|walk|bus|walk,bike|walk|car|walk|car|walk|car|walk|bike|car|bike|walk|car|bus|car|walk|car|walk,bike|walk|rail|walk|car|rail|car|rail|car|walk|bike|car|rail|walk|car|rail|walk|car|walk|rail,multimodal,
trip_000571,walk|rail|walk,walk|car|walk|car|bike|walk|car|bike|car|walk,walk|car|walk|car|bike|walk|car|bike|car|walk,multimodal,
trip_000572,walk|bus|walk|bus|walk,walk|car|walk|car|bus|car|walk|car|bike|car|walk|car|walk|car|walk|car,walk|rail|car|rail|car|rail|car|rail|car|rail|car|rail|walk|car|rail|car|bike|car|walk|car|walk|rail|walk|car,multimodal,
trip_000573,walk|rail|walk,walk|car|bike|car|bus|car|walk,walk|car|bike|car|bus|car|walk,multimodal,
trip_000574,walk|rail|walk|bus|walk,walk|bike|car|bike|car|walk|car|bike|car|bike|car|bike|walk,walk|bike|car|bike|car|walk|car|bike|car|bike|car|rail|walk,multimodal,
trip_000575,walk|bus|walk|rail|walk,walk|car|bus|walk|car|walk,walk|car|bus|walk|car|rail|walk|rail|walk|rail|walk,multimodal,
trip_000576,walk|bus|walk|rail|walk,walk|car|walk|car|walk|car|walk|car|bus|car|walk|car|bike|walk,walk|car|walk|car|walk|car|walk|rail|walk|rail|walk|rail|walk,multimodal,
trip_000577,walk|bus|walk|rail|walk,walk|car|walk|car|bike|car|bike|car|walk,walk|car|walk|car|bike|rail|walk|rail|walk,multimodal,
trip_000578,walk|bus|walk|bus|walk,walk|car|bike|car|bike|car|bike|car|bike|car|walk|car|walk|car|bus|car|bike|car|bus|walk|bike|car|bike|walk|car|bus|car|bus|car|walk,walk|rail|car|rail|car|rail|walk|car|walk|car|rail|car|bike|car|bus|walk|bike|rail|walk|car|rail|walk,multimodal,
trip_000579,walk|bus|walk,walk|car|walk|car|walk|car|walk|car|walk|car|walk|car|walk,walk|car|walk|car|walk|car|walk|car|rail|walk|car|walk|rail|walk,multimodal,
trip_000580,walk|rail|walk,walk|car|walk|car|walk|car|walk|bike|walk|car|walk|car,walk|car|walk|car|walk|car|walk|bike|walk|car|walk|car,multimodal,
trip_000581,walk|rail|walk|bus|walk,walk|bike|walk|car|walk|car|walk|bike|walk|car|walk,walk|bike|walk|car|walk|rail|walk|rail|walk|bike|walk|car|rail|walk|rail|walk|rail|walk,multimodal,
trip_000582,walk|bus|walk|rail|walk,walk|car|walk|car|walk,walk|car|walk|car|rail|walk|rail|walk|rail|walk,multimodal,
trip_000583,walk|rail|walk|bus|walk,walk|car|walk|car|bus|car|bus|car|walk,walk|rail|walk|car|bus|rail|walk|rail|walk|rail|walk,multimodal,
trip_000584,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000585,walk|bus|walk,walk|car|walk,walk|car|rail|walk,multimodal,
trip_000586,walk|rail|walk|bus|walk,walk|car|bike|car|walk|car|bike|walk,walk|car|rail|walk|car|rail|walk,multimodal,
trip_000587,walk|bus|walk,walk|bus|car|walk,walk|bus|car|rail|walk,multimodal,
trip_000588,walk|bus|walk|bus|walk,walk|car|bike|car|bike|car|bike|car|walk|bike|car|bike|car|bike|car|walk|car|bike|car|bike|car|walk|bike|car|bike|car|bike|walk|car|walk|car|bike|car|walk,walk|rail|car|rail|car|rail|bike|rail|car|rail|walk|bike|car|bike|car|bike|car|rail|car|walk|car|bike|car|bike|car|walk|bike|car|bike|car|rail|walk|rail|walk|car|bike|car|walk,multimodal,
trip_000589,walk|bus|walk|rail|walk,walk|car|walk|car|bus|car|bus|car|bike|car|walk,walk|car|walk|car|bus|car|bus|rail|walk|rail|walk|rail|walk,multimodal,
trip_000590,walk|bus|walk|rail|walk,walk|car|walk|car|walk|car|walk|car|walk|car|bike|car|walk|car|walk|car|walk,walk|car|walk|car|walk|car|walk|car|rail|walk|rail|walk|rail|walk|car|walk,multimodal,
trip_000591,walk|rail|walk|bus|walk,walk|car|bike|car|walk|car|walk|bike|walk,walk|rail|walk|rail|walk|car|rail|walk|rail|walk|rail|walk,multimodal,
trip_000592,walk|bus|walk,walk|bus|car|walk,walk|bus|car|rail|walk,multimodal,
trip_000593,walk|rail|walk|rail|walk,walk|car|walk|car|bike|car|walk,walk|car|rail|walk|rail|walk,multimodal,
trip_000594,walk|bus|walk,walk|bike|car|walk|car|walk,walk|bike|car|rail|walk|rail|walk,multimodal,
trip_000595,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000596,walk|rail|walk|bus|walk,walk|car|walk|car|walk,walk|car|walk|car|rail|walk,multimodal,
trip_000597,walk|rail|walk|rail|walk,walk|car|walk|car|walk,walk|car|rail|walk|rail|walk,multimodal,
trip_000598,walk|rail|walk|rail|walk,walk|car|walk|car|walk|car|walk|bike|walk|bike|walk|car,walk|car|walk|car|rail|walk|rail|car|rail|car|rail|car|walk|bike|walk|rail|walk|car,multimodal,
trip_000599,walk|bus|walk|bus|walk,walk|car|bike|car|bike|car|walk|car|bike|car|bus|car|walk|car|walk|bike|car|bike|car|bike|walk|car|walk|car|bike|car|walk|car|walk|car|bike|car|walk,walk|rail|walk|rail|car|rail|bike|rail|walk|car|rail|car|walk|car|walk|bike|car|bike|car|rail|bike|walk|car|walk|rail|car|bike|car|walk|car|walk|car|bike|car|walk|rail,multimodal,
trip_000600,walk|bus|walk|rail|walk,walk|car|walk|car|walk,walk|car|rail|walk|rail|walk|rail|walk|rail|walk,multimodal,
trip_000601,walk|bus|walk|bus|walk,walk|car|walk|bike|car|bike|car|bike|car|bus|bike|car|bike|car|walk|car|walk|bike|car|bike|car|bike|car|walk|bike|walk|bike|car|bike|car|bike|car|walk|car|bike|car|bike|car|walk|bike|walk|bike|car|bike|walk|car|bike|car|walk,walk|rail|walk|rail|car|bike|car|bus|rail|car|rail|car|rail|car|rail|walk|car|rail|walk|rail|bike|car|bike|car|bike|car|walk|bike|walk|bike|car|rail|walk|car|bike|car|bike|car|walk|bike|walk|bike|rail|bike|walk|car|rail|walk,multimodal,
trip_000602,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000603,walk|bus|walk|bus|walk,bike|walk|car|bus|car|walk|car|walk|car|bus|car|walk|car|walk|car|walk|car|walk|car|bike|car|walk|car|walk,bike|walk|rail|walk|rail|walk|car|rail|car|rail|car|rail|car|bus|car|walk|car|walk|car|rail|car|walk|car|rail|walk|car|rail|walk|car|walk,multimodal,
trip_000604,walk|bus|walk|rail|walk,walk|bike|walk|car|walk|car|walk|bike|walk,walk|bike|walk|rail|walk|rail|walk|rail|walk|rail|walk|rail|walk,multimodal,
trip_000605,walk|rail|walk|bus|walk,walk|car|walk|bike|walk|car|bike|walk|car|bus|walk,walk|car|walk|bike|rail|walk|rail|walk|car|rail|walk|rail|walk|rail|walk,multimodal,
trip_000606,walk|rail|walk,walk|car|walk|car|walk|car|walk|car|walk|car|walk,walk|car|walk|car|walk|car|walk|car|walk|car|walk,multimodal,
trip_000607,walk|rail|walk|bus|walk,walk|bike|walk|car|walk|car|walk|car|walk|bike|car|walk|car|walk|car|walk,walk|bike|walk|car|walk|car|rail|walk|car|rail|walk|rail|walk|rail|walk,multimodal,
trip_000608,walk|bus|walk|bus|walk,bike|walk|bike|walk|car|bus|car|bus|car|bus|car|bus|car|walk|car|walk|car|bike|walk|car|walk|car|walk|car|walk|bike,bike|walk|bike|walk|rail|car|rail|car|rail|car|bus|car|bus|car|walk|car|rail|car|walk|car|rail|walk|car|rail|walk|rail|walk|car|walk|bike,multimodal,
trip_000609,walk|bus|walk,car|walk|car|walk|bike|walk|car|walk|car|bike|walk|car|walk|car|walk|car|walk|car,car|walk|car|walk|bike|walk|car|rail|walk|car|walk|car|walk|car|walk|car,multimodal,
trip_000610,walk|bus|walk,walk|car|walk|car|walk,walk|car|walk|car|rail|walk,multimodal,
trip_000611,walk|bus|walk|bus|walk,walk|bike|walk|car|walk|bike|walk|car|walk|car|bike|car|walk|bus|car|walk|car|walk|car|walk|car|walk|car|walk|car|bike|car|bike|bus|walk|bike|car|bike|walk|car|bus|car|walk|car|walk,walk|bike|walk|car|rail|car|walk|car|rail|car|rail|car|walk|bus|car|walk|car|walk|car|walk|car|rail|walk|car|rail|car|walk|car|bike|car|bike|bus|walk|bike|car|rail|car|bike|walk|car|rail|walk|car|walk,multimodal,
trip_000612,walk|rail|walk,walk|bike|walk|bike|walk|car|walk,walk|bike|walk|bike|walk|car|walk,multimodal,
trip_000613,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000614,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000615,walk|rail|walk|bus|walk,walk|car|walk|bike|car|bike|walk,walk|car|rail|walk|bike|car|rail|walk,multimodal,
trip_000616,walk|bus|walk|rail|walk,walk|car|walk|car|bike|car|walk,walk|rail|walk|rail|walk|rail|walk,multimodal,
trip_000617,walk|rail|walk,walk|car|walk|bike|walk|car|walk|car|walk|car|walk|bike|walk|car|walk|bike|walk|bike|walk|car,walk|car|walk|bike|walk|car|walk|car|walk|car|walk|bike|walk|car|walk|bike|walk|bike|walk|car,multimodal,
trip_000618,walk|bus|walk|bus|walk,walk|car|bike|car|bike|car|walk|car|bus|car|walk|car|walk|car|bus|car|bike|walk|bike|car|bike|walk|car|bus|car|walk,walk|rail|walk|rail|car|rail|car|rail|car|rail|walk|rail|car|bus|car|walk|car|walk|car|rail|car|bus|car|bike|walk|bike|car|rail|walk|car|rail|car|walk,multimodal,
trip_000619,walk|bus|walk|rail|walk,walk|car|walk|bike|walk|car|bike|walk|car|walk|car|walk|car|bike|walk|bike|walk|car|bike|walk,walk|car|walk|bike|walk|car|bike|walk|car|rail|walk|car|bike|walk|rail|walk|car|bike|walk,multimodal,
trip_000620,walk|rail|walk,walk|bike|car|walk|car|walk|car|walk|car|walk|bike|walk|car|walk|car|walk,walk|bike|car|walk|car|walk|car|walk|car|walk|bike|walk|car|walk|car|walk,multimodal,
trip_000621,walk|bus|walk|rail|walk,walk|car|walk|bike|walk|car|walk|car|walk|bike|walk|car|walk|car|walk|car|walk,walk|car|walk|bike|walk|car|walk|rail|walk|rail|walk|rail|walk|car|walk,multimodal,
trip_000622,walk|bus|walk|bus|walk,car|walk|car|walk|car|walk|car|bus|car|bus|car|walk|car|walk|car|walk|car|walk|bike|car|walk|bus|car|walk|car|walk|bike|walk|bike,car|walk|car|rail|walk|car|rail|car|rail|car|rail|walk|car|walk|car|rail|car|walk|car|walk|bike|car|rail|walk|rail|car|walk|car|walk|bike|walk|rail,multimodal,
trip_000623,walk|bus|walk,walk|car|walk|bike|walk|car|walk|car|walk|bike|walk|car,walk|car|walk|bike|walk|car|rail|walk|bike|walk|rail|walk|car,multimodal,
trip_000624,walk|bus|walk|bus|walk,walk|car|walk|car|walk|car|walk|car|walk|car|walk|bike|car|bike|walk|car|walk|car|walk|car|bike|car|walk,walk|rail|walk|rail|walk|car|rail|car|walk|car|walk|car|walk|bike|car|rail|walk|rail|car|rail|walk|car|walk|car|bike|car|walk|rail,multimodal,
trip_000625,walk|rail|walk|bus|walk,walk|car|walk|car|bus|car|walk|car|walk,walk|car|rail|walk|car|bus|car|rail|walk|rail|walk,multimodal,
trip_000626,walk|bus|walk|bus|walk,walk|bike|car|bike|car|walk|car|bus|car|walk|car|walk|car|walk|bike|car|bike|walk|bike|walk|car|bike|car|walk|car|bike|car|walk|bike|walk,walk|rail|walk|rail|walk|car|rail|car|bus|car|walk|car|walk|car|rail|car|walk|bike|car|rail|walk|bike|walk|rail|car|bike|car|walk|car|bike|car|walk|bike|walk|rail,multimodal,
trip_000627,walk|bus|walk|bus|walk,walk|bike|car|bike|car|bike|car|bike|car|bus|car|bike|car|bike|car|bike|car|bike|car|bike|car|walk|car|bike|car|bike|car|walk|car|bike|walk|car|bike|car|bike|car|bike|car|bike|car|bike|walk|car|walk|car|bike|car|bike|walk|bike|walk|car|walk|car|bike|walk,walk|rail|car|rail|bike|rail|car|rail|car|rail|bike|car|walk|rail|walk|car|bike|walk|car|bike|car|bike|car|rail|walk|car|walk|car|bike|car|bike|walk|bike|rail|walk|car|rail|car|walk|car|bike|walk,multimodal,
trip_000628,walk|rail|walk|rail|walk,walk|bike|car|walk|car|walk,walk|bike|car|rail|walk|rail|car|rail|walk,multimodal,
trip_000629,walk|bus|walk|rail|walk,walk|car|walk|car|walk,walk|rail|walk|rail|walk|rail|walk|rail|walk,multimodal,
trip_000630,walk|bus|walk|bus|walk,walk|bike|walk|car|bus|car|bus|car|bike|car|bike|car|bike|car|bike|car|bike|car|bike|car|walk|bike|car|bike|car|bike|car|bike|walk|car|bike|car|bike|car|walk|car|walk|bike|walk,walk|rail|walk|rail|car|bus|car|bus|car|rail|car|rail|bike|car|bike|car|bike|car|rail|car|bike|car|bike|car|walk|bike|car|bike|car|bike|rail|walk|rail|bike|car|walk|car|walk|bike|walk|rail,multimodal,
trip_000631,walk|bus|walk|bus|walk,walk|car|bike|car|bus|car|bus|car|bus|car|walk|car|walk|bike|car|bike|walk|car|bike|car|walk|car|walk|car|bike|walk,walk|rail|car|rail|car|rail|car|walk|car|walk|bike|car|rail|walk|rail|bike|car|walk|car|walk|car|bike|walk,multimodal,
trip_000632,walk|rail|walk,walk|car|walk,walk|car|walk,multimodal,
trip_000633,walk|bus|walk|rail|walk,walk|car|walk|car|walk|bike|walk,walk|rail|walk|rail|walk|bike|walk|rail|walk,multimodal,
trip_000634,walk|bus|walk|bus|walk,walk|bike|car|bike|car|bike|car|walk|car|bike|car|bus|car|bike|car|bike|car|bike|car|bike|car|walk|car|bus|car|bike|car|walk|car|walk|bike|car|bike|walk|bike|car|bike|car|bike|car|walk|car|bike|car|bike|walk,walk|rail|car|rail|walk|car|bike|car|bus|rail|car|rail|car|rail|car|rail|walk|car|rail|car|walk|car|walk|bike|car|rail|walk|rail|bike|car|walk|car|bike|car|bike|walk,multimodal,
trip_000635,walk|rail|walk|rail|walk,walk|car|walk|car|bike|walk,walk|car|walk|car|rail|walk,multimodal,
trip_000636,walk|bus|walk|rail|walk,walk|bike|walk|bike|walk|car|walk|car|walk|car|walk|car|walk|car|walk,walk|bike|walk|bike|walk|rail|walk|rail|walk|car|walk,multimodal,
trip_000637,walk|bus|walk|rail|walk,walk|car|bus|car|walk|car|rail|car|walk,walk|car|bus|car|walk|car|rail|walk,multimodal,
trip_000638,walk|bus|walk|bus|walk,walk|bike|walk|car|walk|car|bus|car|bike|car|walk|car|bike|car|walk|car|walk|car|bike|walk,walk|bike|walk|car|walk|rail|car|rail|car|rail|walk|car|rail|walk|car|rail|walk|car|bike|walk|rail,multimodal,
trip_000639,walk|rail|walk|bus|walk,walk|bike|car|bike|car|walk|car|bus|car|walk,walk|bike|car|bike|car|walk|car|bus|rail|walk,multimodal,
trip_000640,walk|bus|walk,walk|car|walk,walk|car|rail|walk,multimodal,
trip_000641,walk|rail|walk|rail|walk,walk|car|bus|car|walk|car|walk,walk|car|bus|car|rail|walk|rail|car|rail|car|rail|car|rail|walk|rail|walk,multimodal,
trip_000642,walk|rail|walk,walk|car|bike|car|walk,walk|car|bike|car|walk,multimodal,
trip_000643,walk|bus|walk,walk|car|walk|car|walk,walk|car|rail|walk|rail|walk,multimodal,
trip_000644,walk|rail|walk|rail|walk,walk|car|walk|car|walk,walk|car|rail|walk|rail|car|rail|car|rail|walk,multimodal,
trip_000645,walk|rail|walk|bus|walk,walk|car|bike|car|bike|car|walk|car|bike|bus|car|bike|walk,walk|car|bike|car|bike|car|walk|car|bike|bus|car|bike|rail|walk,multimodal,
trip_000646,walk|rail|walk|rail|walk,walk|car|bus|car|walk|car|walk,walk|car|bus|car|rail|walk|rail|car|rail|car|rail|walk,multimodal,
trip_000647,walk|rail|walk,walk|bike|walk|bike|walk|car|walk|car|walk,walk|bike|walk|bike|walk|car|walk|car|walk,multimodal,
trip_000648,walk|bus|walk|rail|walk,walk|bike|walk|car|walk|car|walk,walk|bike|walk|rail|walk|rail|walk|rail|walk,multimodal,
