trip_id,expected_transitions,predicted_transitions,transition_exact
trip_000511,walk->bike|bike->rail|rail->walk,walk->rail|rail->bike|bike->rail|rail->bike|bike->rail|rail->car|car->bike|bike->car|car->bike|bike->walk|walk->car|car->bike|bike->car|car->walk|walk->rail|rail->bus|bus->walk|walk->rail|rail->walk,False
trip_000512,walk->car|car->walk,walk->rail|rail->walk|walk->rail|rail->car|car->rail|rail->bus|bus->bike|bike->rail|rail->walk|walk->rail|rail->walk,False
trip_000513,walk->bus|bus->rail|rail->walk,walk->rail|rail->walk,False
trip_000514,walk->bus|bus->rail|rail->walk,car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->car|car->bus|bus->rail|rail->bus|bus->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000515,walk->rail|rail->walk,car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->car|car->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000516,walk->rail|rail->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail,False
trip_000517,walk->rail|rail->bus|bus->walk,walk->bike|bike->car|car->bus|bus->car|car->bus|bus->car|car->bike|bike->rail|rail->walk,False
trip_000518,walk->bus|bus->rail|rail->bus|bus->walk,walk->bus|bus->car|car->bus|bus->car|car->bike|bike->car|car->bus|bus->bike|bike->bus|bus->rail|rail->walk,False
trip_000519,walk->car|car->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->bike|bike->walk|walk->rail|rail->walk|walk->bike|bike->walk,False
trip_000520,walk->bus|bus->rail|rail->walk,walk->rail|rail->car|car->bus|bus->bike|bike->car|car->rail|rail->bus|bus->rail|rail->walk,False
trip_000521,walk->bike|bike->rail|rail->walk,walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000522,walk->car|car->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->bus|bus->car|car->rail|rail->car|car->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk,False
trip_000523,walk->bus|bus->rail|rail->walk,walk->rail|rail->walk,False
trip_000524,walk->rail|rail->bus|bus->walk,walk->rail|rail->bus|bus->rail|rail->bike|bike->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000525,walk->rail|rail->walk,walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->rail|rail->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->bus|bus->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000526,walk->rail|rail->walk,walk->rail|rail->walk,True
trip_000527,walk->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->rail|rail->car|car->bus|bus->rail|rail->car|car->bus|bus->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000528,walk->rail|rail->walk,walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000529,walk->car|car->walk,walk->rail|rail->walk|walk->bus|bus->car|car->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000530,walk->bus|bus->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->bike|bike->walk|walk->rail|rail->walk,False
trip_000531,walk->bus|bus->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->bike|bike->car|car->bike|bike->rail|rail->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000532,walk->bus|bus->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000533,walk->rail|rail->walk,walk->rail|rail->walk,True
trip_000534,walk->rail|rail->bus|bus->walk,walk->rail|rail->car|car->bus|bus->car|car->rail|rail->bus|bus->bike|bike->car|car->bus|bus->bike|bike->car|car->bike|bike->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000535,walk->bus|bus->rail|rail->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->car|car->bus|bus->car|car->bus|bus->car|car->bus|bus->car|car->rail|rail->car|car->rail|rail->walk|walk->car|car->bus|bus->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->car|car->walk|walk->rail|rail->bus|bus->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail,False
trip_000536,walk->rail|rail->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->bus|bus->rail|rail->car|car->bus|bus->rail|rail->walk|walk->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000537,walk->car|car->walk,walk->rail|rail->car|car->rail|rail->bike|bike->walk,False
trip_000538,walk->rail|rail->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->bus|bus->rail|rail->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->rail,False
trip_000539,walk->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->bus|bus->car|car->bus|bus->car|car->bus|bus->car|car->bus|bus->rail|rail->bus|bus->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->bus|bus->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail,False
trip_000540,walk->bus|bus->rail|rail->bus|bus->walk,walk->car|car->bus|bus->car|car->bus|bus->car|car->rail|rail->bike|bike->car|car->rail|rail->car|car->rail|rail->bus|bus->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000541,walk->bus|bus->rail|rail->bus|bus->walk,walk->car|car->bike|bike->bus|bus->bike|bike->rail|rail->bike|bike->bus|bus->car|car->bike|bike->bus|bus->car|car->bus|bus->rail|rail->bike|bike->car|car->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000542,walk->bike|bike->rail|rail->walk,walk->rail|rail->walk|walk->rail|rail->car|car->rail|rail->walk|walk->rail|rail->walk,False
trip_000543,walk->rail|rail->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000544,walk->bus|bus->rail|rail->walk,walk->bus|bus->rail|rail->bike|bike->car|car->rail|rail->car|car->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail,False
trip_000545,walk->rail|rail->walk,walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000546,walk->bus|bus->rail|rail->walk,walk->rail|rail->bike|bike->car|car->rail|rail->car|car->rail|rail->walk|walk->rail|rail->walk,False
trip_000547,walk->bus|bus->rail|rail->bus|bus->walk,walk->rail|rail->bike|bike->rail|rail->bike|bike->rail|rail->walk,False
trip_000548,walk->bus|bus->rail|rail->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car,False
trip_000549,walk->bus|bus->rail|rail->bus|bus->walk,walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000550,walk->bus|bus->walk,car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000551,walk->rail|rail->bus|bus->walk,walk->rail|rail->car|car->bus|bus->car|car->bus|bus->car|car->bus|bus->bike|bike->bus|bus->walk|walk->bus|bus->car|car->bus|bus->car|car->bus|bus->rail|rail->walk|walk->rail|rail->walk,False
trip_000552,walk->bike|bike->rail|rail->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->bike|bike->car|car->bike|bike->car|car->bike|bike->car|car->bus|bus->bike|bike->car|car->bus|bus->bike|bike->car|car->bus|bus->bike|bike->car|car->bike|bike->walk|walk->bike|bike->walk|walk->car|car->bike|bike->car|car->bike|bike->rail|rail->walk|walk->rail|rail->walk,False
trip_000553,walk->bike|bike->walk,walk->bike|bike->rail|rail->bike|bike->rail|rail->bike|bike->rail|rail->bike|bike->walk|walk->rail|rail->walk,False
trip_000554,walk->bus|bus->rail|rail->bus|bus->walk,walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->car|car->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail,False
trip_000555,walk->bus|bus->rail|rail->walk,walk->rail|rail->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk,False
trip_000556,walk->bus|bus->rail|rail->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->bus|bus->car|car->bus|bus->car|car->bus|bus->car|car->rail|rail->walk|walk->car|car->walk|walk->bus|bus->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->bus|bus->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car,False
trip_000557,walk->bus|bus->rail|rail->bus|bus->walk,walk->bus|bus->car|car->bus|bus->car|car->rail|rail->car|car->rail|rail->bus|bus->rail|rail->walk|walk->rail|rail->walk,False
trip_000558,walk->bus|bus->rail|rail->bus|bus->walk,walk->rail|rail->car|car->bus|bus->rail|rail->bike|bike->walk,False
trip_000559,walk->bike|bike->rail|rail->walk,walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->rail|rail->walk|walk->car|car->bus|bus->car|car->rail|rail->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car,False
trip_000560,walk->bus|bus->rail|rail->bus|bus->walk,walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->rail|rail->walk|walk->car|car->bus|bus->car|car->bus|bus->car|car->bus|bus->rail|rail->walk|walk->bus|bus->car|car->rail|rail->car|car->rail|rail->walk|walk->bus|bus->rail|rail->bus|bus->car|car->bus|bus->car|car->bus|bus->walk|walk->bus|bus->car|car->bus|bus->car|car->rail|rail->car|car->bus|bus->rail|rail->car|car->rail|rail->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->rail|rail->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk|walk->car|car->walk,False
trip_000561,walk->bike|bike->rail|rail->walk,walk->bike|bike->rail|rail->bike|bike->rail|rail->walk,False
